     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,03/14/2020-03/20/2020,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,FF VALUE,FF 7-DAY,FF 30-DAY,                                                                     
R017,LEXINGTON AVENUE              ,00016284,00001147,00000149,00000348,00000056,00006958,00010249,00000049,00000187,00000268,00000104,00001015,00000416,00000324,00000000,00000182,00000000,00000000,00000000,00000383,00000000,00000080,00000000,00000182,00000152,00000186,                                                                                                    
R018,ROOSEVELT AVE/JACKSON HTS     ,00038018,00003231,00000991,00002005,00000006,00039120,00045022,00000030,00000121,00001158,00000022,00002957,00000388,00000660,00000000,00000494,00000000,00000000,00000000,00001772,00000000,00000644,00000000,00000655,00000619,00001114,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,00012032,00000791,00000337,00000649,00000002,00011768,00011887,00000018,00000144,00000399,00000002,00001279,00000208,00000133,00000000,00000080,00000000,00000000,00000000,00000464,00000000,00000240,00000000,00000227,00000206,00000295,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,00028980,00002412,00000250,00000690,00000039,00016559,00019959,00000091,00000394,00000513,00000068,00002442,00000742,00000630,00000000,00000368,00000000,00000000,00000000,00000546,00000000,00000285,00000000,00000586,00000399,00000461,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,00021347,00001314,00000269,00000603,00000010,00014224,00017424,00000152,00000368,00000280,00000008,00001825,00000438,00000522,00000000,00000321,00000000,00000000,00000000,00000473,00000000,00000258,00000000,00000478,00000337,00000550,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00037735,00002671,00000460,00001147,00000094,00024474,00028203,00000216,00000368,00000824,00000183,00002437,00000757,00000676,00000000,00000736,00000000,00000000,00000000,00001045,00000000,00000595,00000000,00000891,00000714,00000835,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00029860,00001905,00000314,00000746,00000054,00014869,00020474,00000063,00000250,00000593,00000102,00001512,00000947,00000611,00000000,00000380,00000000,00000000,00000000,00000629,00000000,00000228,00000000,00000408,00000295,00000399,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00020870,00001185,00000331,00000530,00000065,00017857,00011448,00000014,00000095,00000761,00000130,00001018,00000235,00000168,00000000,00002171,00000000,00000000,00000000,00000703,00000000,00000299,00000000,00000414,00000462,00000401,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,00021216,00001101,00000658,00001052,00000005,00030089,00016300,00000039,00000062,00001051,00000009,00002028,00000350,00000301,00000000,00000162,00000000,00000000,00000000,00001296,00000000,00000609,00000000,00000563,00000803,00000562,                                                                                                    
R027,WALL STREET                   ,00010801,00000704,00000076,00000208,00000108,00004313,00007421,00000024,00000117,00000132,00000300,00000849,00000308,00000214,00000000,00000147,00000000,00000000,00000000,00000209,00000000,00000057,00000000,00000133,00000082,00000082,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,00015950,00001356,00000198,00000534,00000051,00008501,00012644,00000039,00000143,00000203,00000142,00001396,00000394,00000389,00000000,00000294,00000000,00000000,00000000,00000524,00000000,00000146,00000000,00000308,00000225,00000264,                                                                                                    
R029,PARK PLACE                    ,00021882,00001405,00000225,00000540,00000024,00009320,00013640,00000403,00000163,00000354,00000174,00001139,00000553,00000479,00000000,00000343,00000000,00000000,00000000,00000485,00000000,00000236,00000000,00000331,00000259,00000259,                                                                                                    
R030,CHAMBERS STREET               ,00007590,00000815,00000140,00000273,00000062,00004726,00005937,00000078,00000051,00000180,00000094,00000589,00000246,00000137,00000000,00000103,00000000,00000000,00000000,00000249,00000000,00000221,00000000,00000129,00000140,00000150,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,00018286,00001434,00000225,00000454,00000142,00008619,00009374,00000036,00000112,00000371,00000451,00000953,00000516,00000300,00000000,00000242,00000000,00000000,00000000,00000445,00000000,00000185,00000000,00000304,00000320,00000265,                                                                                                    
R032,42ND STREET/TIMES SQUARE      ,00021329,00001516,00000288,00000610,00000019,00012986,00016919,00000061,00000294,00000302,00000017,00001500,00000523,00000514,00000000,00000306,00000000,00000000,00000000,00000422,00000000,00000207,00000000,00000410,00000344,00000351,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,00028761,00001711,00000390,00000806,00000017,00020790,00016229,00000412,00000208,00000702,00000036,00001504,00000484,00000463,00000001,00000727,00000000,00000000,00000000,00000816,00000000,00000428,00000000,00000561,00000473,00000520,                                                                                                    
R034,125TH STREET & BROADWAY       ,00005078,00000546,00000094,00000172,00000012,00004275,00003763,00000004,00000028,00000166,00000002,00000317,00000068,00000096,00000000,00000059,00000000,00000000,00000000,00000357,00000000,00000073,00000000,00000220,00000189,00000165,                                                                                                    
R035,168TH STREET & BROADWAY       ,00018371,00001514,00000248,00000464,00000012,00013202,00014711,00000048,00000120,00000625,00000031,00001832,00000417,00000403,00000000,00000174,00000000,00000000,00000000,00000837,00000000,00000181,00000000,00000568,00000505,00000402,                                                                                                    
R036,DYCKMAN STREET                ,00006488,00000811,00000163,00000289,00000000,00006697,00004352,00000011,00000018,00000484,00000001,00000510,00000052,00000058,00000000,00000034,00000000,00000000,00000000,00000616,00000000,00000174,00000000,00000407,00000390,00000255,                                                                                                    
R037,207TH STREET                  ,00004156,00000460,00000127,00000104,00000000,00006688,00003279,00000010,00000014,00000219,00000000,00000319,00000028,00000036,00000000,00000036,00000000,00000000,00000000,00000396,00000000,00000219,00000000,00000187,00000393,00000232,                                                                                                    
R038,215TH STREET                  ,00001165,00000176,00000024,00000045,00000000,00000874,00000971,00000005,00000016,00000060,00000000,00000104,00000028,00000024,00000000,00000014,00000000,00000000,00000000,00000092,00000000,00000029,00000000,00000083,00000033,00000042,                                                                                                    
R039,225TH STREET                  ,00004410,00000343,00000070,00000096,00000007,00004357,00002791,00000002,00000012,00000192,00000013,00000296,00000040,00000071,00000000,00000025,00000000,00000000,00000000,00000415,00000000,00000115,00000000,00000271,00000257,00000171,                                                                                                    
R040,231ST STREET                  ,00006430,00000766,00000165,00000386,00000000,00006686,00005177,00000039,00000012,00000348,00000001,00000572,00000081,00000096,00000000,00000027,00000000,00000000,00000000,00000515,00000000,00000142,00000000,00000283,00000327,00000252,                                                                                                    
R041,BOWLING GREEN & BATTERY PL    ,00009779,00000781,00000154,00000309,00000022,00006836,00006601,00000612,00000098,00000194,00000097,00000946,00000240,00000191,00000000,00000164,00000000,00000000,00000000,00000346,00000000,00000088,00000000,00000255,00000198,00000142,                                                                                                    
R042,BOWLING GREEN & BROADWAY      ,00001668,00000084,00000024,00000039,00000007,00001833,00001227,00000109,00000002,00000015,00000011,00000148,00000015,00000027,00000000,00000046,00000000,00000000,00000000,00000099,00000000,00000043,00000000,00000049,00000061,00000040,                                                                                                    
R043,WALL STREET                   ,00008979,00000516,00000084,00000151,00000021,00004622,00005857,00000154,00000078,00000070,00000132,00000645,00000252,00000142,00000000,00000125,00000000,00000000,00000000,00000195,00000000,00000068,00000000,00000156,00000152,00000123,                                                                                                    
R044,BROOKLYN BRIDGE               ,00016613,00001674,00000150,00000484,00000021,00009173,00012182,00000099,00000089,00000294,00000110,00000809,00000339,00000304,00000000,00000263,00000000,00000000,00000000,00000706,00000000,00000155,00000000,00000455,00000287,00000298,                                                                                                    
R045,42ND STREET & GRAND CENTRAL   ,00007899,00000604,00000074,00000179,00000072,00002399,00003602,00000058,00000070,00000089,00000224,00000357,00000231,00000146,00000000,00000061,00000000,00000000,00000000,00000132,00000000,00000033,00000000,00000072,00000082,00000058,                                                                                                    
R046,42ND STREET & GRAND CENTRAL   ,00032994,00002027,00000340,00000608,00000234,00014217,00017624,00000119,00000247,00000565,00000576,00002118,00000807,00000547,00000000,00000501,00000000,00000000,00000000,00000391,00000000,00000194,00000000,00000491,00000365,00000329,                                                                                                    
R047,42ND STREET & GRAND CENTRAL   ,00022076,00001652,00000233,00000519,00000068,00011318,00015111,00000102,00000231,00000211,00000261,00001914,00000576,00000414,00000000,00000275,00000000,00000000,00000000,00000507,00000000,00000207,00000000,00000428,00000343,00000281,                                                                                                    
R048,42ND STREET & 3RD AVENUE      ,00007036,00000557,00000051,00000137,00000030,00002989,00005302,00000020,00000090,00000078,00000067,00000598,00000252,00000162,00000000,00000060,00000000,00000000,00000000,00000106,00000000,00000046,00000000,00000093,00000063,00000064,                                                                                                    
R049,51ST STREET & LEXINGTON AVE   ,00008897,00000661,00000130,00000247,00000009,00006281,00006476,00000048,00000086,00000123,00000013,00001188,00000181,00000155,00000000,00000170,00000000,00000000,00000000,00000177,00000000,00000082,00000000,00000171,00000134,00000139,                                                                                                    
R050,59TH STREET & LEXINGTON AVE   ,00009134,00000842,00000121,00000309,00000013,00005950,00007732,00000082,00000099,00000190,00000061,00000884,00000190,00000165,00000000,00000116,00000000,00000000,00000000,00000141,00000000,00000105,00000000,00000151,00000135,00000144,                                                                                                    
R051,59TH STREET & LEXINGTON AVE   ,00019137,00001357,00000217,00000539,00000010,00015993,00016767,00000082,00000144,00000292,00000036,00001609,00000389,00000378,00000000,00000163,00000000,00000000,00000000,00000491,00000000,00000260,00000000,00000386,00000360,00000449,                                                                                                    
R052,WOODLAWN ROAD                 ,00003752,00000290,00000130,00000155,00000000,00005463,00002797,00000005,00000026,00000201,00000000,00000265,00000038,00000010,00000000,00000026,00000000,00000000,00000000,00000196,00000000,00000112,00000000,00000110,00000200,00000096,                                                                                                    
R053,149TH STREET & 3RD AVENUE     ,00018053,00001253,00000439,00000678,00000003,00021730,00010780,00000022,00000064,00000759,00000005,00001461,00000095,00000139,00000000,00000093,00000000,00000000,00000000,00002145,00000000,00000531,00000000,00001057,00001371,00000985,                                                                                                    
R054,FIFTH AVENUE & 42ND STREET    ,00006710,00000398,00000066,00000133,00000010,00003882,00005099,00000064,00000082,00000079,00000003,00000453,00000140,00000154,00000000,00000118,00000000,00000000,00000000,00000171,00000000,00000050,00000000,00000092,00000078,00000074,                                                                                                    
R055,MAIN STREET                   ,00026904,00003018,00000552,00002455,00000012,00030035,00034521,00000058,00000147,00001201,00000007,00001566,00000268,00000240,00000000,00000177,00000000,00000000,00000000,00001065,00000000,00000513,00000000,00000518,00000386,00000905,                                                                                                    
R056,NEVINS STREET                 ,00007020,00000691,00000205,00000324,00000000,00005557,00005076,00000038,00000030,00000292,00000010,00000686,00000088,00000140,00000000,00000048,00000000,00000000,00000000,00000491,00000000,00000127,00000000,00000312,00000241,00000139,                                                                                                    
R057,BARCLAYS CENTER               ,00027973,00002308,00000660,00001115,00000133,00020450,00021564,00000067,00000126,00000726,00000423,00002227,00000576,00000507,00000000,00000279,00000000,00000000,00000000,00001957,00000000,00000488,00000000,00000920,00000782,00000697,                                                                                                    
R058,BERGEN STREET                 ,00001866,00000166,00000025,00000073,00000001,00001056,00001771,00000003,00000025,00000024,00000001,00000202,00000038,00000060,00000000,00000028,00000000,00000000,00000000,00000105,00000000,00000011,00000000,00000041,00000047,00000021,                                                                                                    
R059,GRAND ARMY PLAZA              ,00003575,00000449,00000072,00000145,00000000,00001992,00003240,00000006,00000023,00000118,00000005,00000455,00000093,00000095,00000000,00000053,00000000,00000000,00000000,00000155,00000000,00000040,00000000,00000062,00000073,00000064,                                                                                                    
R060,EASTERN PARKWAY               ,00002104,00000299,00000050,00000105,00000000,00001443,00001733,00000002,00000001,00000051,00000000,00000240,00000025,00000079,00000000,00000023,00000000,00000000,00000000,00000105,00000000,00000036,00000000,00000068,00000023,00000022,                                                                                                    
R061,NOSTRAND AVENUE               ,00002853,00000282,00000129,00000067,00000000,00002495,00001995,00000000,00000007,00000129,00000001,00000227,00000011,00000037,00000000,00000035,00000000,00000000,00000000,00000214,00000000,00000084,00000000,00000100,00000121,00000086,                                                                                                    
R062,UTICA AVENUE                  ,00021342,00001653,00000688,00000850,00000001,00020572,00014674,00000022,00000103,00000711,00000010,00001961,00000132,00000318,00000000,00000091,00000000,00000000,00000000,00001528,00000000,00000468,00000000,00000866,00000721,00000559,                                                                                                    
R063,SUTTER AVENUE                 ,00006948,00000670,00000171,00000217,00000007,00005757,00003405,00000001,00000029,00000335,00000000,00000341,00000034,00000122,00000000,00000028,00000000,00000000,00000000,00000716,00000001,00000150,00000000,00000287,00000305,00000157,                                                                                                    
R064,SARATOGA AVENUE               ,00005997,00000364,00000107,00000133,00000000,00004600,00002788,00000007,00000023,00000201,00000000,00000300,00000028,00000059,00000000,00000035,00000000,00000000,00000000,00000641,00000000,00000106,00000001,00000262,00000164,00000143,                                                                                                    
R065,ROCKAWAY AVENUE               ,00004837,00000456,00000140,00000164,00000000,00003943,00002131,00000005,00000011,00000459,00000003,00000289,00000465,00000025,00000000,00000021,00000000,00000000,00000002,00000745,00000000,00000107,00000000,00000392,00000346,00000200,                                                                                                    
R066,JUNIUS STREET                 ,00001967,00000201,00000066,00000075,00000000,00002354,00001222,00000001,00000007,00000094,00000000,00000073,00000002,00000007,00000000,00000006,00000000,00000000,00000000,00000257,00000000,00000089,00000000,00000181,00000178,00000080,                                                                                                    
R067,PENNSYLVANIA AVENUE           ,00004931,00000388,00000131,00000119,00000000,00004242,00001997,00000001,00000011,00000230,00000000,00000269,00000011,00000030,00000000,00000021,00000000,00000000,00000000,00000576,00000000,00000104,00000000,00000313,00000246,00000160,                                                                                                    
R068,VAN SICLEN AVENUE             ,00003104,00000226,00000054,00000083,00000000,00002517,00001300,00000009,00000008,00000196,00000000,00000184,00000003,00000016,00000000,00000020,00000001,00000000,00000000,00000324,00000000,00000058,00000001,00000130,00000143,00000115,                                                                                                    
R069,NEW LOTS AVENUE               ,00005327,00000326,00000178,00000152,00000000,00005431,00002909,00000012,00000019,00000241,00000001,00000306,00000051,00000039,00000000,00000019,00000001,00000001,00000000,00000496,00000000,00000093,00000000,00000276,00000264,00000162,                                                                                                    
R070,ST GEORGE TERMINAL            ,00007913,00000564,00000022,00000215,00000008,00002247,00003174,00000077,00000124,00000039,00000000,00000258,00000329,00000048,00000000,00000021,00000000,00000000,00000000,00000103,00000000,00000082,00000000,00000151,00000059,00000050,                                                                                                    
R072,34TH STREET - HUDSON YARDS    ,00010839,00000317,00000056,00000154,00000015,00007797,00005648,00000052,00000062,00000076,00000008,00000502,00000156,00000241,00000000,00000252,00000000,00000000,00000000,00000177,00000000,00000092,00000000,00000179,00000153,00000177,                                                                                                    
R079,FIFTH AVENUE & 60TH STREET    ,00008934,00000641,00000099,00000213,00000004,00004644,00006017,00000091,00000108,00000155,00000034,00000873,00000234,00000164,00000000,00000166,00000000,00000000,00000000,00000133,00000000,00000055,00000000,00000093,00000060,00000079,                                                                                                    
R080,57TH STREET & 7TH AVENUE      ,00016992,00001495,00000154,00000623,00000009,00010639,00015329,00000098,00000140,00000269,00000021,00001948,00000486,00000426,00000000,00000343,00000000,00000000,00000000,00000321,00000000,00000122,00000000,00000253,00000220,00000273,                                                                                                    
R081,49TH STREET & 7TH AVENUE      ,00010673,00000639,00000133,00000315,00000004,00007195,00007987,00000072,00000120,00000145,00000004,00000940,00000271,00000214,00000000,00000358,00000000,00000000,00000000,00000258,00000000,00000082,00000000,00000138,00000115,00000138,                                                                                                    
R082,28TH STREET & BROADWAY        ,00005016,00000264,00000068,00000099,00000002,00004029,00004380,00000035,00000049,00000100,00000001,00000353,00000136,00000125,00000000,00000114,00000000,00000000,00000000,00000147,00000000,00000032,00000000,00000077,00000055,00000088,                                                                                                    
R083,23RD STREET & 5TH AVENUE      ,00007567,00000525,00000109,00000249,00000005,00005626,00006760,00000142,00000074,00000134,00000003,00000584,00000237,00000211,00000000,00000165,00000000,00000000,00000000,00000174,00000000,00000065,00000000,00000097,00000137,00000115,                                                                                                    
R084,59TH STREET/COLUMBUS CIRCLE   ,00034390,00002877,00000561,00001262,00000037,00025830,00028246,00000138,00000171,00000732,00000145,00003247,00000632,00000966,00000000,00000617,00000000,00000000,00000000,00001202,00000000,00000476,00000000,00000857,00000826,00000726,                                                                                                    
R085,8TH STREET & BROADWAY         ,00006340,00000523,00000052,00000184,00000012,00003657,00005083,00000037,00000046,00000104,00000016,00000476,00000185,00000155,00000000,00000142,00000000,00000000,00000000,00000152,00000000,00000032,00000000,00000062,00000052,00000060,                                                                                                    
R086,PRINCE STREET & BROADWAY      ,00004570,00000221,00000041,00000087,00000002,00003002,00003298,00000022,00000036,00000039,00000001,00000385,00000107,00000107,00000000,00000141,00000000,00000000,00000000,00000078,00000000,00000048,00000000,00000057,00000066,00000057,                                                                                                    
R087,CITY HALL                     ,00002973,00000309,00000038,00000102,00000000,00001281,00002587,00000052,00000040,00000054,00000001,00000143,00000087,00000081,00000000,00000040,00000000,00000000,00000000,00000070,00000000,00000021,00000000,00000025,00000026,00000045,                                                                                                    
R088,CORTLANDT STREET              ,00008019,00000423,00000103,00000185,00000005,00003571,00004666,00000068,00000097,00000090,00000002,00000385,00000210,00000187,00000000,00000203,00000000,00000000,00000000,00000129,00000000,00000071,00000000,00000093,00000046,00000060,                                                                                                    
R089,JAY ST-METROTECH              ,00001959,00000140,00000020,00000055,00000000,00000867,00001463,00000013,00000013,00000055,00000000,00000096,00000056,00000035,00000000,00000026,00000000,00000000,00000000,00000074,00000000,00000023,00000000,00000051,00000031,00000023,                                                                                                    
R090,39TH AVENUE & 31ST STREET     ,00002221,00000146,00000053,00000056,00000000,00001863,00001716,00000010,00000013,00000083,00000000,00000165,00000043,00000037,00000000,00000029,00000000,00000000,00000000,00000100,00000000,00000022,00000000,00000056,00000036,00000073,                                                                                                    
R091,36TH AVENUE & 31ST STREET     ,00005022,00000448,00000069,00000125,00000000,00003407,00004512,00000004,00000030,00000178,00000004,00000338,00000084,00000137,00000000,00000080,00000000,00000000,00000000,00000292,00000000,00000051,00000000,00000108,00000092,00000109,                                                                                                    
R092,BROADWAY & 31ST STREET        ,00007495,00000607,00000107,00000225,00000001,00004291,00007522,00000007,00000058,00000261,00000000,00000635,00000149,00000210,00000000,00000103,00000000,00000000,00000000,00000385,00000000,00000058,00000000,00000093,00000066,00000118,                                                                                                    
R093,30TH AVENUE & 31ST STREET     ,00009442,00000649,00000116,00000189,00000002,00006283,00008468,00000013,00000065,00000259,00000009,00000888,00000174,00000259,00000000,00000112,00000000,00000000,00000000,00000328,00000000,00000092,00000000,00000153,00000133,00000132,                                                                                                    
R094,ASTORIA BLVD & 31ST STREET    ,00005630,00000330,00000083,00000133,00000002,00003607,00004819,00000003,00000035,00000152,00000000,00000442,00000121,00000133,00000000,00000072,00000000,00000000,00000000,00000205,00000000,00000042,00000000,00000072,00000067,00000077,                                                                                                    
R095,DITMARS BLVD & 31ST STREET    ,00011085,00000745,00000132,00000208,00000000,00006409,00009186,00000007,00000062,00000391,00000003,00000867,00000211,00000258,00000000,00000135,00000000,00000000,00000000,00000370,00000000,00000109,00000000,00000147,00000101,00000130,                                                                                                    
R096,82ND STREET-JACKSON HEIGHTS   ,00014067,00001275,00000306,00000408,00000002,00014510,00009092,00000012,00000039,00000545,00000007,00000631,00000087,00000146,00000000,00000143,00000000,00000000,00000000,00000932,00000000,00000257,00000000,00000216,00000185,00000224,                                                                                                    
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00027705,00000965,00000242,00000334,00000000,00028740,00010713,00000006,00000042,00000570,00000002,00000521,00000348,00000152,00000000,00000153,00000000,00000000,00000000,00001419,00000000,00000364,00000000,00000325,00000206,00000274,                                                                                                    
R098,CHURCH AVENUE                 ,00013043,00001163,00000380,00000556,00000004,00011539,00009803,00000015,00000033,00000499,00000001,00001194,00000112,00000209,00000001,00000099,00000000,00000000,00000000,00000959,00000000,00000279,00000000,00000370,00000319,00000306,                                                                                                    
R099,DEKALB AVENUE                 ,00011082,00000937,00000141,00000547,00000004,00007268,00011798,00000030,00000073,00000229,00000008,00001155,00000230,00000245,00000000,00000107,00000000,00000000,00000000,00000757,00000000,00000143,00000000,00000393,00000299,00000574,                                                                                                    
R100,METROPOLITAN AVENUE           ,00002839,00000143,00000046,00000130,00000004,00002268,00002232,00000004,00000016,00000078,00000000,00000197,00000033,00000018,00000000,00000013,00000000,00000000,00000000,00000190,00000000,00000067,00000000,00000061,00000050,00000067,                                                                                                    
R101,145TH STREET                  ,00014125,00001005,00000293,00000436,00000001,00016720,00013556,00000002,00000043,00000526,00000011,00001331,00000130,00000381,00000000,00000127,00000000,00000000,00000000,00001177,00000000,00000290,00000000,00000697,00000806,00000651,                                                                                                    
R102,125TH STREET                  ,00018134,00001427,00000619,00000778,00000006,00020029,00015297,00000034,00000064,00000893,00000013,00001721,00000244,00000352,00000001,00000196,00000000,00000000,00000000,00001759,00000000,00000418,00000000,00000928,00001044,00000749,                                                                                                    
R103,BROADWAY-EAST NEW YORK        ,00008052,00000473,00000244,00000311,00000003,00007868,00003987,00000012,00000009,00000259,00000005,00000429,00000032,00000050,00000000,00000076,00000000,00000000,00000000,00000571,00000000,00000139,00000000,00000369,00000474,00000264,                                                                                                    
R104,167TH ST-GRAND CONCOURSE      ,00008919,00000560,00000160,00000166,00000005,00010479,00005028,00000001,00000015,00000477,00000001,00000510,00000024,00000101,00000000,00000059,00000000,00000000,00000000,00001052,00000000,00000334,00000000,00000489,00000590,00000443,                                                                                                    
R105,14TH STREET & 7TH AVENUE      ,00012045,00001388,00000256,00000584,00000003,00010847,00010134,00000064,00000092,00000227,00000029,00000988,00000302,00000273,00000000,00000244,00000000,00000000,00000000,00000340,00000000,00000138,00000000,00000244,00000294,00000239,                                                                                                    
R106,CASTLE HILL AVENUE            ,00006197,00000388,00000092,00000137,00000001,00005628,00003554,00000015,00000023,00000163,00000000,00000445,00000027,00000033,00000000,00000027,00000000,00000000,00000000,00000551,00000000,00000135,00000000,00000237,00000263,00000199,                                                                                                    
R107,WESTCHESTER SQUARE            ,00004483,00000295,00000081,00000204,00000000,00004601,00003132,00000028,00000016,00000203,00000003,00000352,00000061,00000044,00000000,00000013,00000000,00000000,00000000,00000464,00000000,00000126,00000000,00000187,00000193,00000186,                                                                                                    
R108,BOROUGH HALL - COURT STREET   ,00017023,00001973,00000363,00000719,00000033,00010246,00012973,00000142,00000124,00000459,00000097,00001352,00000356,00000383,00000000,00000134,00000000,00000001,00000000,00000825,00000000,00000180,00000000,00000476,00000361,00000327,                                                                                                    
R109,CHURCH AVENUE & NOSTRAND AV   ,00009363,00000782,00000302,00000420,00000000,00007600,00005328,00000012,00000028,00000517,00000000,00000682,00000050,00000085,00000000,00000062,00000000,00000000,00000000,00000685,00000000,00000164,00000000,00000222,00000167,00000145,                                                                                                    
